Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019
AAPL US Equity,0.1717,0.173,0.1661,0.1643,0.1844,0.1814,0.1985,0.1849,0.201,0.2032,0.1968,0.1935,0.2156,0.2168,0.2284,0.2366,0.2573,0.2753,0.2707,0.2926,0.3142,0.2977,0.2854,0.2494,0.2295,0.2081,0.1934,0.1758,0.1879,0.1822,0.1795,0.182,0.2044,0.2046,0.2047,0.1927,0.1781,0.1644,0.1483,0.1449,0.1428,0.1432,0.1374,0.1354,0.1504,0.1597,0.1602,0.1521,0.1609,0.1661,0.157
ACN US Equity,0.1436,0.1336,0.1228,0.1343,0.1417,0.1433,0.1462,0.1653,0.1667,0.1487,0.1421,0.1486,0.1529,0.1484,0.1424,0.1343,0.1534,0.1612,0.163,0.157,0.1734,0.1701,0.1577,0.1648,0.1618,0.1668,0.165,0.1705,0.1738,0.173,0.1684,0.177,0.1824,0.1781,0.1712,0.1729,0.1833,0.18,0.1735,0.1849,0.1867,0.1809,0.1735,0.1785,0.1865,0.1901,0.1832,0.1799,0.1818,0.182,0.1762
ADBE US Equity,0.093,0.0986,0.1213,0.124,0.1422,0.1486,0.15,0.1512,0.1481,0.129,0.1185,0.0704,0.0608,0.0652,0.079,0.1034,0.1098,0.1171,0.1131,0.1061,0.0982,0.0953,0.0935,0.0864,0.0731,0.0598,0.0472,0.0307,0.0291,0.0277,0.0237,0.0254,0.0288,0.0339,0.0451,0.0543,0.0681,0.0752,0.0816,0.0958,0.1052,0.1124,0.1208,0.124,0.1342,0.1521,0.1649,0.156,0.1538,0.1506,0.1551
ADI US Equity,0.142,0.1389,0.1441,0.1428,0.2053,0.2155,0.2366,0.2594,0.1547,0.134,0.101,0.0873,0.1096,0.1383,0.1637,0.1872,0.1946,0.1941,0.1929,0.1795,0.1596,0.1341,0.1236,0.1204,0.1198,0.1173,0.1144,0.1068,0.1075,0.1084,0.0927,0.1106,0.1172,0.1201,0.1074,0.112,0.1053,0.0967,0.0954,0.1221,0.1133,0.0658,0.0933,0.1048,0.107,0.0815,0.0977,0.1019,0.1042,0.1019,0.0982
ADSK US Equity,0.1835,0.1893,0.1964,0.1983,0.1777,0.178,0.1692,0.1776,0.1479,0.1214,0.0864,0.0564,0.0523,0.0626,0.0757,0.0831,0.0821,0.0882,0.0903,0.0942,0.0923,0.0916,0.0898,0.0813,0.0688,0.0639,0.0621,0.0642,0.0515,0.0456,0.0384,0.0266,0.0175,0.0144,-0.0001,-0.01,-0.0189,-0.0428,-0.0464,-0.0689,-0.0942,-0.1089,-0.1219,-0.1215,-0.1089,-0.0913,-0.0749,-0.055,-0.0124,-0.0075,0.0121
AKAM US Equity,0.0543,0.0606,0.0659,0.0695,0.075,0.0802,0.0832,0.0821,0.0796,0.0782,0.0761,0.0728,0.0733,0.0723,0.0738,0.077,0.0802,0.0822,0.0841,0.0845,0.0819,0.0795,0.0822,0.0848,0.0922,0.0968,0.1001,0.1022,0.0918,0.0933,0.0937,0.0953,0.0885,0.0845,0.083,0.0814,0.0827,0.0824,0.0817,0.0801,0.0727,0.0694,0.0654,0.0621,0.0671,0.0621,0.0688,0.0741,0.0832,0.0827,0.0812
AMAT US Equity,0.1664,0.157,0.1699,0.1557,0.1399,0.1078,0.0887,0.0666,0.0276,0.009,0.0023,0.0197,0.059,0.0872,0.1175,0.1426,0.1538,0.1555,0.1386,0.1242,0.1084,0.0887,0.0789,0.0624,0.0423,0.0384,0.052,0.0676,0.0891,0.0982,0.1045,0.1106,0.1059,0.106,0.0944,0.0991,0.0992,0.1108,0.1277,0.1637,0.1803,0.1979,0.2074,0.2284,0.2372,0.2424,0.2385,0.2092,0.1874,0.1647,
AMD US Equity,-0.0926,-0.1551,-0.2047,-0.2736,-0.2619,-0.324,-0.3097,-0.3256,-0.3181,-0.2537,-0.2616,0.0307,0.136,0.1819,0.1939,0.0405,0.1036,0.1272,0.1754,0.1117,-0.106,-0.1093,-0.1651,-0.2474,-0.1462,-0.1685,-0.1264,-0.0226,0.0051,0.0213,0.0162,-0.0181,-0.0438,-0.081,-0.1257,-0.1416,-0.1573,-0.1245,-0.0789,0.018,0.0447,0.0486,0.0632,-0.0067,0.0249,0.065,0.0726,0.0866,0.0645,0.0446,0.0536
ANSS US Equity,0.0343,0.0681,0.0793,0.0938,0.1014,0.1072,0.0787,0.0788,0.0775,0.0778,0.0627,0.0645,0.0688,0.0726,0.0719,0.0749,0.0781,0.0824,0.0813,0.0796,0.0789,0.0797,0.0797,0.0807,0.082,0.0845,0.0872,0.0923,0.0932,0.0963,0.0972,0.0939,0.094,0.0925,0.0934,0.0928,0.0935,0.0951,0.0973,0.097,0.1005,0.1018,0.1024,0.1015,0.108,0.115,0.119,0.136,0.1338,0.1338,0.1326
ATVI US Equity,,,,,,,0.0268,0.0281,0.0438,0.0457,0.0479,0.0462,0.0596,0.0714,0.0785,0.0837,0.0793,0.0688,0.0735,0.0837,0.0945,0.1072,0.0868,0.0766,0.066,0.0583,0.0475,0.0616,0.0721,0.0692,0.0746,0.057,0.0465,0.0464,0.0485,0.058,0.0658,0.0733,0.0668,0.061,0.0657,0.0738,0.0803,0.0957,0.0959,0.0964,0.0953,,,,
