Sector,Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,
Technology,AAPL US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.49%,8.19%,7.53%,8.23%,13.95%,15.22%,13.90%,16.80%,19.92%,22.16%,21.47%,26.16%,27.79%,27.06%,26.44%,29.45%,31.39%,30.82%,30.09%,33.15%,32.82%,31.30%,30.70%,32.93%,33.65%,31.92%,
Technology,ACN US Equity,0.31%,0.28%,0.25%,0.08%,0.08%,0.06%,0.07%,0.02%,0.01%,0.01%,0.01%,0.02%,0.00%,0.01%,0.01%,0.03%,0.03%,0.03%,0.03%,0.04%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%,0.15%,0.16%,0.16%,0.16%,0.15%,0.15%,0.16%,0.16%,0.15%,0.15%,0.16%,0.15%,0.13%,0.13%,0.14%,0.13%,0.11%,0.11%,0.12%,0.12%,0.10%,0.09%,0.09%,0.09%,0.08%,
Technology,ADBE US Equity,0.00%,0.00%,0.00%,0.00%,8.43%,6.41%,6.21%,6.01%,5.94%,5.77%,5.87%,13.73%,18.80%,18.65%,19.18%,19.08%,18.30%,18.21%,17.86%,16.84%,16.56%,16.12%,15.69%,15.02%,15.06%,14.84%,14.85%,14.59%,14.74%,14.52%,14.37%,14.04%,17.27%,17.06%,16.56%,16.26%,16.11%,15.70%,15.50%,14.90%,14.44%,14.13%,13.58%,12.94%,12.52%,12.36%,12.18%,21.98%,21.17%,21.02%,20.63%,
Technology,ADI US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.43%,11.15%,10.31%,9.76%,9.64%,9.26%,11.69%,17.57%,16.95%,16.79%,16.49%,15.94%,15.71%,14.62%,13.29%,12.97%,14.21%,13.67%,13.63%,13.23%,31.96%,12.72%,12.80%,12.39%,12.24%,12.32%,22.78%,22.87%,22.53%,21.73%,37.30%,48.43%,38.83%,37.14%,35.65%,33.61%,31.90%,30.98%,28.56%,27.49%,26.38%,
Technology,ADSK US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,1.87%,4.91%,0.16%,2.15%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.21%,17.31%,17.39%,17.66%,17.27%,16.24%,16.06%,15.88%,15.77%,15.14%,15.65%,27.82%,28.48%,26.97%,28.59%,29.50%,30.85%,31.07%,33.66%,36.40%,38.18%,38.56%,40.56%,41.41%,42.07%,44.14%,47.58%,44.25%,
Technology,AKAM US Equity,13.63%,13.16%,12.69%,12.07%,11.76%,11.39%,11.10%,10.63%,10.31%,10.05%,9.85%,9.57%,9.44%,2.89%,2.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.18%,15.80%,15.57%,15.12%,15.29%,14.87%,14.80%,14.78%,14.90%,14.73%,14.57%,14.64%,14.51%,14.51%,14.57%,14.26%,14.27%,27.30%,28.81%,28.57%,24.67%,24.11%,34.72%,
Technology,AMAT US Equity,4.11%,3.93%,1.92%,1.98%,1.87%,1.84%,1.84%,1.95%,2.08%,2.11%,2.11%,2.13%,1.98%,1.92%,1.87%,1.82%,1.71%,13.81%,14.05%,14.33%,14.03%,14.61%,16.08%,16.61%,16.64%,16.56%,16.16%,15.95%,15.51%,15.15%,14.78%,14.89%,14.33%,11.76%,29.67%,25.09%,25.57%,24.40%,21.45%,20.50%,29.07%,27.80%,27.31%,26.98%,28.68%,29.68%,30.11%,28.06%,28.29%,28.25%,,
Technology,AMD US Equity,30.22%,41.87%,41.25%,45.62%,47.17%,53.77%,54.44%,62.25%,62.94%,64.74%,65.11%,52.12%,52.71%,52.07%,52.17%,48.77%,42.81%,42.09%,39.34%,40.69%,40.48%,40.09%,44.23%,51.05%,53.83%,52.53%,47.46%,47.45%,52.04%,52.05%,51.05%,58.72%,66.16%,67.11%,69.99%,72.54%,75.01%,67.49%,45.13%,43.21%,42.68%,42.05%,39.77%,39.27%,36.89%,33.95%,29.97%,27.44%,27.28%,25.09%,21.15%,
Technology,ANSS US Equity,12.71%,10.86%,8.13%,6.21%,4.73%,0.04%,16.31%,14.99%,14.91%,13.00%,12.53%,11.74%,10.51%,8.72%,7.78%,7.50%,7.08%,6.65%,5.89%,5.21%,4.65%,4.23%,3.12%,2.04%,1.02%,1.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.59%,3.06%,3.01%,
Technology,ATVI US Equity,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.77%,33.49%,31.93%,32.34%,31.19%,29.53%,29.58%,29.09%,28.51%,26.72%,33.76%,30.31%,34.61%,28.00%,25.96%,26.10%,24.77%,23.52%,23.87%,24.47%,15.98%,14.98%,16.46%,16.93%,16.57%,,,,,
Technology,AVGO US Equity,,,,46.59%,41.01%,40.90%,37.95%,37.99%,38.75%,39.16%,39.72%,30.41%,14.40%,13.24%,12.29%,10.94%,0.36%,0.28%,0.26%,0.25%,0.20%,0.15%,0.11%,0.10%,0.10%,0.10%,0.09%,0.00%,0.06%,,53.77%,52.51%,51.42%,46.51%,39.66%,36.82%,36.54%,29.19%,27.57%,27.30%,27.33%,27.22%,27.18%,32.25%,32.25%,32.03%,34.95%,34.90%,52.20%,52.95%,53.84%,
Technology,BR US Equity,33.14%,27.14%,24.91%,32.59%,16.09%,15.81%,15.23%,13.49%,13.29%,11.68%,11.23%,12.02%,11.32%,18.06%,21.34%,21.40%,30.44%,27.54%,31.88%,31.33%,28.01%,26.38%,28.65%,28.25%,27.29%,25.99%,27.47%,27.03%,24.61%,23.91%,25.22%,24.97%,27.59%,29.11%,31.94%,32.06%,32.47%,35.35%,38.27%,40.64%,39.07%,34.99%,40.08%,37.62%,34.53%,31.88%,33.82%,35.56%,32.60%,37.89%,47.70%,
Technology,CDNS US Equity,20.46%,19.40%,19.53%,18.87%,20.08%,20.14%,15.40%,24.80%,27.81%,29.34%,30.48%,30.91%,31.17%,31.95%,32.13%,31.73%,30.63%,30.02%,30.61%,24.19%,24.02%,23.85%,22.21%,19.55%,19.48%,21.78%,20.09%,13.38%,13.04%,15.55%,12.48%,21.53%,20.98%,14.65%,14.96%,14.64%,27.29%,29.15%,31.60%,33.07%,31.66%,28.40%,27.94%,30.16%,27.73%,25.51%,15.18%,18.04%,19.66%,17.86%,17.43%,
Technology,CERN US Equity,13.65%,12.63%,12.56%,11.35%,11.10%,10.36%,9.51%,7.52%,7.58%,7.52%,7.01%,5.61%,5.44%,5.18%,5.05%,3.83%,3.96%,4.22%,4.71%,4.22%,4.86%,5.34%,5.67%,5.29%,4.84%,4.73%,4.61%,4.05%,3.83%,3.64%,3.34%,2.88%,11.70%,11.35%,11.42%,10.88%,10.64%,10.11%,9.62%,10.01%,9.48%,8.97%,8.58%,8.14%,6.84%,6.75%,6.50%,6.61%,8.30%,16.22%,16.89%,
Technology,CRM US Equity,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,18.30%,18.31%,17.09%,17.03%,15.29%,15.29%,14.15%,13.96%,11.91%,12.09%,11.42%,11.09%,9.43%,23.91%,23.46%,23.15%,20.48%,15.71%,17.69%,16.41%,12.85%,10.39%,11.87%,11.80%,10.08%,10.09%,12.49%,12.54%,11.42%,10.67%,10.49%,10.55%,7.82%,13.83%,14.24%,13.83%,10.33%,20.41%,19.29%,
Technology,CTSH US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.27%,9.44%,9.01%,7.74%,9.82%,8.02%,6.92%,6.54%,6.16%,8.87%,7.11%,5.64%,5.74%,5.14%,5.06%,4.74%,4.68%,10.01%,10.66%,10.73%,
Technology,CTXS US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.33%,24.56%,23.46%,25.59%,23.79%,24.36%,24.17%,23.92%,23.27%,24.09%,22.34%,27.19%,25.72%,25.76%,36.55%,41.60%,40.54%,40.04%,37.10%,45.65%,30.22%,30.56%,
Technology,DXC US Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.63%,23.87%,25.70%,25.43%,23.61%,24.22%,24.33%,26.19%,25.06%,34.13%,,
Technology,EA US Equity,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.73%,9.38%,9.82%,11.27%,10.58%,10.99%,11.03%,12.25%,11.32%,10.32%,10.15%,10.70%,9.80%,10.26%,9.79%,11.06%,7.25%,5.15%,16.31%,17.03%,14.36%,12.83%,12.83%,13.44%,12.51%,11.48%,11.56%,12.04%,11.75%,11.22%,11.10%,12.67%,11.81%,
