Stock Ticker,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019
AAPL US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0849,0.0819,0.0753,0.0823,0.1395,0.1522,0.1390,0.1680,0.1992,0.2216,0.2147,0.2616,0.2779,0.2706,0.2644,0.2945,0.3139,0.3082,0.3009,0.3315,0.3282,0.3130,0.3070,0.3293,0.3365,0.3192
ACN US Equity,0.0031,0.0028,0.0025,0.0008,0.0008,0.0006,0.0007,0.0002,0.0001,0.0001,0.0001,0.0002,0.0000,0.0001,0.0001,0.0003,0.0003,0.0003,0.0003,0.0004,0.0004,0.0004,0.0000,0.0000,0.0000,0.0000,0.0015,0.0016,0.0016,0.0016,0.0015,0.0015,0.0016,0.0016,0.0015,0.0015,0.0016,0.0015,0.0013,0.0013,0.0014,0.0013,0.0011,0.0011,0.0012,0.0012,0.0010,0.0009,0.0009,0.0009,0.0008
ADBE US Equity,0.0000,0.0000,0.0000,0.0000,0.0843,0.0641,0.0621,0.0601,0.0594,0.0577,0.0587,0.1373,0.1880,0.1865,0.1918,0.1908,0.1830,0.1821,0.1786,0.1684,0.1656,0.1612,0.1569,0.1502,0.1506,0.1484,0.1485,0.1459,0.1474,0.1452,0.1437,0.1404,0.1727,0.1706,0.1656,0.1626,0.1611,0.1570,0.1550,0.1490,0.1444,0.1413,0.1358,0.1294,0.1252,0.1236,0.1218,0.2198,0.2117,0.2102,0.2063
ADI US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1143,0.1115,0.1031,0.0976,0.0964,0.0926,0.1169,0.1757,0.1695,0.1679,0.1649,0.1594,0.1571,0.1462,0.1329,0.1297,0.1421,0.1367,0.1363,0.1323,0.3196,0.1272,0.1280,0.1239,0.1224,0.1232,0.2278,0.2287,0.2253,0.2173,0.3730,0.4843,0.3883,0.3714,0.3565,0.3361,0.3190,0.3098,0.2856,0.2749,0.2638
ADSK US Equity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0187,0.0491,0.0016,0.0215,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0321,0.1731,0.1739,0.1766,0.1727,0.1624,0.1606,0.1588,0.1577,0.1514,0.1565,0.2782,0.2848,0.2697,0.2859,0.2950,0.3085,0.3107,0.3366,0.3640,0.3818,0.3856,0.4056,0.4141,0.4207,0.4414,0.4758,0.4425
AKAM US Equity,0.1363,0.1316,0.1269,0.1207,0.1176,0.1139,0.1110,0.1063,0.1031,0.1005,0.0985,0.0957,0.0944,0.0289,0.0259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1618,0.1580,0.1557,0.1512,0.1529,0.1487,0.1480,0.1478,0.1490,0.1473,0.1457,0.1464,0.1451,0.1451,0.1457,0.1426,0.1427,0.2730,0.2881,0.2857,0.2467,0.2411,0.3472
AMAT US Equity,0.0411,0.0393,0.0192,0.0198,0.0187,0.0184,0.0184,0.0195,0.0208,0.0211,0.0211,0.0213,0.0198,0.0192,0.0187,0.0182,0.0171,0.1381,0.1405,0.1433,0.1403,0.1461,0.1608,0.1661,0.1664,0.1656,0.1616,0.1595,0.1551,0.1515,0.1478,0.1489,0.1433,0.1176,0.2967,0.2509,0.2557,0.2440,0.2145,0.2050,0.2907,0.2780,0.2731,0.2698,0.2868,0.2968,0.3011,0.2806,0.2829,0.2825,
AMD US Equity,0.3022,0.4187,0.4125,0.4562,0.4717,0.5377,0.5444,0.6225,0.6294,0.6474,0.6511,0.5212,0.5271,0.5207,0.5217,0.4877,0.4281,0.4209,0.3934,0.4069,0.4048,0.4009,0.4423,0.5105,0.5383,0.5253,0.4746,0.4745,0.5204,0.5205,0.5105,0.5872,0.6616,0.6711,0.6999,0.7254,0.7501,0.6749,0.4513,0.4321,0.4268,0.4205,0.3977,0.3927,0.3689,0.3395,0.2997,0.2744,0.2728,0.2509,0.2115
ANSS US Equity,0.1271,0.1086,0.0813,0.0621,0.0473,0.0004,0.1631,0.1499,0.1491,0.1300,0.1253,0.1174,0.1051,0.0872,0.0778,0.0750,0.0708,0.0665,0.0589,0.0521,0.0465,0.0423,0.0312,0.0204,0.0102,0.0103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0259,0.0306,0.0301
ATVI US Equity,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1377,0.3349,0.3193,0.3234,0.3119,0.2953,0.2958,0.2909,0.2851,0.2672,0.3376,0.3031,0.3461,0.2800,0.2596,0.2610,0.2477,0.2352,0.2387,0.2447,0.1598,0.1498,0.1646,0.1693,0.1657,,,,
